CreditGrade,Term,LoanStatus,ListingCreationDate,BorrowerAPR,BorrowerRate,ProsperScore,ListingCategory,BorrowerState,Occupation,EmploymentStatus,IsBorrowerHomeowner,DebtToIncomeRatio,StatedMonthlyIncome,OnTimeProsperPayments,Recommendations,LoanOriginalAmount,MonthlyLoanPayment,CreditScoreAvg
B,36,Defaulted,2008-03-05 00:18:37.470,0.20572,0.191,5.950066585742402,Debt Consolidation,CA,Tradesman - Electrician,Full-time,False,0.39,4166.666667,22.271949286846276,0,25000,917.66,709.5
D,36,Completed,2007-09-18 08:54:05.907,0.12966,0.115,5.950066585742402,Not Available,NE,Sales - Commission,Full-time,True,0.13,5833.333333,8.0,0,1200,39.57,629.5
HR,36,Defaulted,2008-09-23 16:04:17.130,0.37453000000000003,0.35,5.950066585742402,Other,PA,Other,Full-time,False,0.27594660400633886,2083.333333,22.271949286846276,0,1399,63.29,549.5
A,36,Defaulted,2007-11-28 05:46:20.320,0.13202,0.125,5.950066585742402,Not Available,IN,Other,Full-time,True,0.34,4583.333333,22.271949286846276,0,13500,451.62,729.5
AA,36,Completed,2007-12-01 17:42:15.450,0.08935,0.0825,5.950066585742402,Not Available,TX,Accountant/CPA,Full-time,True,0.2,7916.666667,22.271949286846276,0,11000,345.97,849.5
D,36,Completed,2008-07-22 10:00:09.650,0.37453000000000003,0.35,5.950066585742402,Other,FL,Other,Retired,True,0.27594660400633886,4250.0,22.271949286846276,0,1000,45.24,609.5
HR,36,Chargedoff,2008-09-26 20:08:31.567,0.37453000000000003,0.35,5.950066585742402,Auto,CA,Other,Part-time,False,0.35,808.333333,22.271949286846276,1,5000,226.18,529.5
C,36,Chargedoff,2008-06-15 07:10:57.703,0.21679,0.1945,5.950066585742402,Business,NY,Skilled Labor,Full-time,True,0.23,4166.666667,22.271949286846276,0,3000,110.65,669.5
B,36,Completed,2008-03-31 14:12:34.427,0.15629,0.142,5.950066585742402,Personal Loan,IL,Other,Full-time,False,0.15,5833.333333,22.271949286846276,0,4000,137.1,709.5
HR,36,Defaulted,2006-07-10 12:55:15.000,0.26016,0.2475,5.950066585742402,Not Available,MI,Clerical,Not available,False,0.13,2158.0,22.271949286846276,0,1500,59.44,469.5
B,36,Completed,2008-03-13 05:19:13.073,0.15629,0.142,5.950066585742402,Debt Consolidation,IA,Other,Full-time,False,0.08,2250.0,22.271949286846276,0,5000,171.37,709.5
A,36,Completed,2007-07-02 21:41:16.920,0.10843,0.1015,5.950066585742402,Not Available,MA,Doctor,Full-time,True,0.23,10416.666667,22.271949286846276,0,8500,270.09,729.5
B,36,Completed,2007-10-29 09:38:33.020,0.13705,0.13,5.950066585742402,Not Available,GA,Other,Full-time,False,0.19,5000.0,22.271949286846276,0,15000,480.06,689.5
D,36,Chargedoff,2008-04-23 12:57:01.080,0.17677,0.155,5.950066585742402,Student Use,SC,Construction,Full-time,False,0.27,3083.333333,22.271949286846276,0,7500,261.83,629.5
D,36,Chargedoff,2007-11-24 17:33:48.197,0.19985,0.1884,5.950066585742402,Not Available,CO,Professional,Full-time,True,0.11,2833.333333,22.271949286846276,0,1600,58.52,629.5
C,36,Completed,2008-07-14 19:25:19.983,0.27305999999999997,0.25,5.950066585742402,Other,CA,Teacher,Full-time,True,0.17,7916.666667,22.271949286846276,0,6500,258.44,649.5
AA,36,Completed,2006-11-30 09:55:07.570,0.08674,0.0799,5.950066585742402,Not Available,NJ,Professional,Not available,True,0.12,13333.333333,22.271949286846276,0,9900,310.18,829.5
E,36,Chargedoff,2007-08-16 19:43:23.260,0.25517,0.24,5.950066585742402,Not Available,MI,Sales - Retail,Full-time,False,0.05,2833.333333,22.271949286846276,0,2700,105.93,569.5
AA,36,Defaulted,2007-11-02 20:03:29.410,0.127,0.12,5.950066585742402,Not Available,FL,Other,Full-time,True,0.27594660400633886,0.0,22.271949286846276,1,12000,398.57,789.5
AA,36,Completed,2008-07-30 10:58:58.287,0.08482999999999999,0.078,5.950066585742402,Other,PA,Doctor,Full-time,False,0.25,3916.666667,22.271949286846276,0,7500,234.33,789.5
A,36,Completed,2006-11-11 16:29:07.797,0.09981,0.0825,5.950066585742402,Not Available,TX,Other,Not available,False,0.67,1500.0,22.271949286846276,0,1000,31.45,729.5
B,36,Chargedoff,2008-08-11 03:42:38.173,0.37633,0.36,5.950066585742402,Debt Consolidation,CT,Sales - Commission,Full-time,True,0.64,6500.0,22.271949286846276,0,13500,618.35,689.5
A,36,Defaulted,2007-06-22 08:58:00.957,0.14207,0.135,5.950066585742402,Not Available,CA,Computer Programmer,Full-time,True,0.21,7083.333333,22.271949286846276,0,20000,678.71,749.5
NC,36,Defaulted,2006-11-22 20:48:44.953,0.2996,0.29,5.950066585742402,Not Available,AL,Skilled Labor,Not available,False,0.27594660400633886,1604.166667,22.271949286846276,0,2025,84.86,9.5
C,36,Chargedoff,2008-06-26 13:39:27.113,0.14132,0.12,5.950066585742402,Business,AZ,Professional,Full-time,False,0.15,4196.5,22.271949286846276,1,5000,166.07,649.5
D,36,Completed,2008-06-05 05:23:30.920,0.16460999999999998,0.143,5.950066585742402,Student Use,NY,Administrative Assistant,Full-time,False,0.36,3000.0,22.271949286846276,0,9999,343.2,629.5
E,36,Completed,2008-05-28 10:57:06.813,0.28198,0.2588,5.950066585742402,Personal Loan,HI,Military Enlisted,Full-time,False,0.29,4467.916667,22.271949286846276,0,1000,40.23,569.5
B,36,Chargedoff,2008-05-31 11:16:47.353,0.17445,0.16,5.950066585742402,Business,PA,Other,Full-time,False,0.23,3333.333333,22.271949286846276,1,20000,703.14,709.5
A,36,Chargedoff,2008-06-03 11:14:19.373,0.17394,0.1595,5.950066585742402,Personal Loan,NJ,Administrative Assistant,Full-time,True,0.18,3917.333333,22.271949286846276,0,5000,175.66,729.5
D,36,Completed,2008-06-16 18:30:52.183,0.16309,0.1415,5.950066585742402,Home Improvement,AL,Other,Full-time,True,0.05,1250.0,22.271949286846276,0,2000,68.5,629.5
AA,36,Chargedoff,2007-11-05 08:02:57.047,0.10461,0.0977,5.950066585742402,Not Available,GA,Truck Driver,Full-time,True,0.32,4166.666667,22.271949286846276,0,15000,482.39,769.5
HR,36,Chargedoff,2008-03-18 17:41:02.050,0.32378,0.3,5.950066585742402,Debt Consolidation,IL,Chemist,Full-time,False,0.37,2750.0,11.0,0,1900,80.66,549.5
AA,36,Completed,2008-04-05 07:50:43.593,0.10542,0.0985,5.950066585742402,Personal Loan,CA,Other,Full-time,False,0.11,8333.333333,8.0,0,20000,643.94,769.5
AA,36,Completed,2008-04-01 18:33:58.977,0.07426,0.0572,5.950066585742402,Business,PA,Other,Retired,True,0.01,8333.333333,22.271949286846276,0,1000,30.3,869.5
HR,36,Completed,2007-05-02 17:14:46.180,0.2634,0.2498,5.950066585742402,Not Available,CA,Administrative Assistant,Full-time,False,0.25,2916.666667,22.271949286846276,0,4200,166.95,529.5
B,36,Completed,2008-10-07 13:15:25.057,0.27707,0.2617,5.950066585742402,Debt Consolidation,GA,Clergy,Full-time,True,0.29,4583.333333,22.271949286846276,0,6000,242.29,709.5
A,36,Chargedoff,2008-01-04 13:10:05.770,0.13965,0.1255,5.950066585742402,Debt Consolidation,AZ,Other,Self-employed,True,0.17,8833.333333,22.271949286846276,0,24000,803.46,749.5
C,36,Chargedoff,2007-06-26 17:43:37.750,0.24753000000000003,0.24,5.950066585742402,Not Available,MN,Accountant/CPA,Self-employed,False,0.08,2442.416667,22.271949286846276,0,3000,117.7,669.5
A,36,Chargedoff,2007-05-02 07:35:13.830,0.14347000000000001,0.1364,5.950066585742402,Not Available,NH,Computer Programmer,Full-time,True,0.43,7079.333333,22.271949286846276,0,15000,510.05,749.5
A,36,Completed,2008-02-20 12:44:06.807,0.10184,0.088,5.950066585742402,Debt Consolidation,CA,Computer Programmer,Full-time,False,0.18,4546.666667,22.271949286846276,0,3500,110.97,729.5
AA,36,Completed,2007-04-09 08:24:12.780,0.08354,0.075,5.950066585742402,Not Available,FL,Analyst,Full-time,True,0.12,4583.333333,22.271949286846276,2,2000,62.21,829.5
C,36,Completed,2008-03-24 12:48:07.173,0.25785,0.235,5.950066585742402,Debt Consolidation,GA,Analyst,Full-time,False,0.44,3978.416667,11.0,2,6601,0.0,649.5
AA,36,Completed,2007-03-20 11:12:53.307,0.09207,0.08,5.950066585742402,Not Available,UT,Accountant/CPA,Full-time,True,0.32,2083.333333,22.271949286846276,0,1425,44.65,789.5
C,36,Chargedoff,2008-05-07 10:15:25.930,0.12562,0.1045,5.950066585742402,Personal Loan,CA,Engineer - Electrical,Full-time,False,0.26,4500.0,22.271949286846276,0,6000,194.87,649.5
C,36,Chargedoff,2007-07-10 16:12:40.950,0.1973,0.19,5.950066585742402,Not Available,IN,Other,Full-time,True,0.04,3000.0,22.271949286846276,0,3500,128.3,669.5
C,36,Completed,2008-06-16 07:14:05.533,0.20149,0.1794,5.950066585742402,Debt Consolidation,AL,Other,Full-time,False,0.25,2941.666667,22.271949286846276,0,6500,234.79,649.5
C,36,Completed,2007-05-24 14:37:59.003,0.19835,0.18,5.950066585742402,Not Available,IN,Engineer - Chemical,Full-time,True,0.25,7083.333333,22.271949286846276,0,1000,36.15,649.5
E,36,Chargedoff,2008-09-24 05:35:43.470,0.34025,0.3,5.950066585742402,Other,IN,Professional,Full-time,False,0.38,3064.583333,22.271949286846276,0,1500,63.68,589.5
E,36,Completed,2006-07-03 13:30:18.670,0.25581,0.24,5.950066585742402,Not Available,WA,Skilled Labor,Not available,False,0.09,5833.333333,22.271949286846276,0,1200,47.08,569.5
B,36,Completed,2007-07-17 21:51:12.073,0.13705,0.13,5.950066585742402,Not Available,GA,Other,Full-time,True,0.07,5833.333333,22.271949286846276,0,10000,336.94,689.5
D,36,Completed,2007-08-14 10:40:33.550,0.21236999999999998,0.205,5.950066585742402,Not Available,CA,Sales - Commission,Full-time,False,0.38,5000.0,22.271949286846276,0,16000,598.7,609.5
C,36,Chargedoff,2008-04-27 17:24:06.507,0.23504,0.2125,5.950066585742402,Debt Consolidation,IL,Sales - Commission,Full-time,True,0.38,3500.0,22.271949286846276,0,7500,283.53,649.5
HR,36,Completed,2008-02-11 13:06:15.927,0.24264000000000002,0.22,5.950066585742402,Auto,MS,Military Enlisted,Full-time,False,0.29,3428.0,22.271949286846276,2,1000,38.19,549.5
C,36,Chargedoff,2007-08-15 21:27:03.010,0.15713,0.15,5.950066585742402,Not Available,TX,Computer Programmer,Full-time,True,0.19,4583.333333,22.271949286846276,0,6000,207.99,649.5
B,36,Defaulted,2008-05-07 09:55:59.203,0.19916,0.1845,5.950066585742402,Personal Loan,TN,Nurse (LPN),Full-time,True,0.18,3583.333333,22.271949286846276,0,5000,181.89,689.5
A,36,Chargedoff,2008-04-15 04:25:00.180,0.18302000000000002,0.1685,5.950066585742402,Debt Consolidation,FL,Clerical,Full-time,False,0.26,4250.0,22.271949286846276,0,5500,195.68,749.5
HR,36,Defaulted,2007-02-14 13:51:16.983,0.30564,0.29,5.950066585742402,Not Available,TX,Military Enlisted,Full-time,False,0.08,3750.0,22.271949286846276,0,2500,104.76,529.5
AA,36,Chargedoff,2008-03-14 18:20:42.223,0.1019,0.095,5.950066585742402,Auto,GA,Truck Driver,Self-employed,True,0.06,5833.333333,22.271949286846276,0,4000,128.13,789.5
C,36,Completed,2008-06-23 12:45:25.173,0.21933000000000002,0.197,5.950066585742402,Personal Loan,NM,Laborer,Full-time,False,0.29,1833.3333329999998,1.0,0,4500,166.55,669.5
A,36,Chargedoff,2008-02-06 23:07:18.707,0.1693,0.1549,5.950066585742402,Debt Consolidation,CA,Other,Full-time,False,0.27594660400633886,0.0,22.271949286846276,0,7000,244.34,729.5
D,36,Defaulted,2007-07-24 06:42:17.973,0.28770999999999997,0.28,5.950066585742402,Not Available,MN,Other,Full-time,True,0.25,5416.666667,22.271949286846276,0,5000,206.82,609.5
AA,36,Completed,2007-08-04 19:04:22.100,0.11194000000000001,0.105,5.950066585742402,Not Available,CA,Other,Full-time,True,0.37,5500.0,22.271949286846276,0,14500,471.29,809.5
AA,36,Completed,2008-06-02 13:05:18.213,0.10582000000000001,0.0989,5.950066585742402,Debt Consolidation,VA,Computer Programmer,Full-time,True,0.09,9125.0,22.271949286846276,1,18000,579.88,789.5
D,36,Chargedoff,2008-01-26 08:14:03.120,0.36349000000000004,0.35,5.950066585742402,Personal Loan,CA,Construction,Full-time,False,0.16,5469.75,10.0,0,4500,203.56,609.5
C,36,Chargedoff,2008-07-17 07:55:42.737,0.16157,0.14,5.950066585742402,Other,IA,Other,Full-time,False,0.4,2491.666667,14.0,0,2000,68.36,649.5
B,36,Completed,2008-08-27 17:24:19.530,0.12402,0.11,5.950066585742402,Other,FL,Other,Full-time,False,0.05,4333.333333,22.271949286846276,0,3000,98.22,689.5
B,36,Defaulted,2008-07-18 12:06:13.817,0.1914,0.1768,5.950066585742402,Debt Consolidation,TN,Accountant/CPA,Full-time,False,0.22,3416.666667,22.271949286846276,0,9000,323.93,689.5
D,36,Chargedoff,2006-11-24 22:51:53.353,0.18725999999999998,0.18,5.950066585742402,Not Available,AZ,Military Enlisted,Not available,False,0.38,4478.583333,22.271949286846276,0,17000,614.59,629.5
HR,36,Chargedoff,2008-05-05 07:46:08.877,0.36438000000000004,0.34,5.950066585742402,Debt Consolidation,NC,Other,Full-time,False,0.22,8750.0,22.271949286846276,0,3000,134.02,529.5
A,36,Chargedoff,2008-04-17 10:05:31.673,0.14117000000000002,0.127,5.950066585742402,Debt Consolidation,FL,Other,Full-time,True,0.25,6250.0,22.271949286846276,0,9800,328.79,729.5
B,36,Completed,2008-06-22 19:11:03.290,0.16688,0.1525,5.950066585742402,Personal Loan,MN,Administrative Assistant,Full-time,True,0.43,3083.333333,22.271949286846276,1,4500,156.55,709.5
A,36,Completed,2008-10-06 18:21:42.790,0.09579,0.082,5.950066585742402,Other,CA,Professional,Full-time,False,0.11,4583.333333,22.271949286846276,0,6000,188.57,749.5
HR,36,Completed,2007-12-28 12:44:34.260,0.19987,0.1852,5.950066585742402,Debt Consolidation,OK,Construction,Self-employed,True,0.26,5000.0,22.271949286846276,1,1500,12.46,529.5
AA,36,Completed,2008-05-02 14:18:05.237,0.127,0.12,5.950066585742402,Business,CA,Professional,Full-time,True,0.55,2333.333333,22.271949286846276,0,7500,249.11,769.5
A,36,Chargedoff,2008-04-21 06:05:37.010,0.17135,0.1695,5.950066585742402,Business,TX,Principal,Full-time,True,0.47,5850.0,18.0,0,9700,345.59,729.5
AA,36,Completed,2008-05-27 15:10:17.747,0.08674,0.0799,5.950066585742402,Personal Loan,PA,Other,Full-time,False,0.03,8083.333333,22.271949286846276,0,8000,250.65,809.5
B,36,Completed,2008-05-26 06:37:22.220,0.26526,0.25,5.950066585742402,Personal Loan,NC,Social Worker,Full-time,True,0.26,2916.666667,22.271949286846276,0,3000,119.28,689.5
E,36,Completed,2008-08-08 21:44:27.293,0.27286,0.2498,5.950066585742402,Other,OR,Other,Full-time,False,0.15,2554.0,22.271949286846276,0,1000,39.75,589.5
A,36,Chargedoff,2008-01-24 10:48:32.623,0.11897999999999999,0.105,5.950066585742402,Business,MA,Computer Programmer,Full-time,True,0.12,6250.0,22.271949286846276,0,7000,227.52,729.5
C,36,Completed,2008-04-12 04:53:20.303,0.232,0.2095,5.950066585742402,Business,NC,Computer Programmer,Full-time,True,0.25,6166.666667,22.271949286846276,0,7500,278.84,649.5
HR,36,Chargedoff,2007-09-13 10:53:18.020,0.29554,0.28,5.950066585742402,Not Available,IL,Administrative Assistant,Full-time,False,0.06,3120.0,22.271949286846276,0,3500,144.77,549.5
D,36,Defaulted,2007-07-12 10:21:15.803,0.21378000000000003,0.2064,5.950066585742402,Not Available,MI,Truck Driver,Full-time,True,0.15,6727.5,22.271949286846276,0,8000,299.92,609.5
E,36,Chargedoff,2007-12-27 20:25:02.280,0.36623,0.35,5.950066585742402,Personal Loan,AL,Clerical,Full-time,False,0.09,2333.333333,8.0,0,2000,90.47,569.5
E,36,Completed,2008-08-14 03:01:55.897,0.34408,0.32,5.950066585742402,Other,NY,Other,Retired,True,0.36,2500.0,22.271949286846276,0,3000,130.66,569.5
A,36,Completed,2007-11-05 11:32:31.287,0.15713,0.15,5.950066585742402,Not Available,NC,Engineer - Mechanical,Full-time,True,0.29,6510.0,22.271949286846276,0,20000,693.31,749.5
D,36,Completed,2008-08-01 13:55:50.000,0.32124,0.2975,5.950066585742402,Debt Consolidation,UT,Sales - Retail,Full-time,True,0.27,5000.0,22.271949286846276,0,3000,126.94,629.5
E,36,Chargedoff,2008-07-29 12:54:35.670,0.37453000000000003,0.35,5.950066585742402,Debt Consolidation,IN,Skilled Labor,Full-time,False,0.4,2500.0,22.271949286846276,0,1400,63.33,589.5
E,36,Completed,2008-02-19 03:46:27.053,0.34376999999999996,0.3197,5.950066585742402,Personal Loan,AL,Other,Full-time,False,0.25,2432.666667,11.0,0,2000,82.92,589.5
B,36,Chargedoff,2008-08-18 11:22:44.007,0.16435999999999998,0.15,5.950066585742402,Debt Consolidation,GA,Professional,Self-employed,False,0.27594660400633886,11083.333333,22.271949286846276,0,10000,346.65,689.5
HR,36,Defaulted,2006-10-18 11:51:32.590,0.01647,0.0099,5.950066585742402,Not Available,TX,Clerical,Not available,True,0.18,2500.0,22.271949286846276,0,4500,126.92,529.5
D,36,Completed,2008-08-29 10:06:22.373,0.14132,0.12,5.950066585742402,Auto,MO,Student - College Freshman,Part-time,False,0.27594660400633886,416.666667,22.271949286846276,0,1500,49.82,629.5
C,36,Defaulted,2007-06-08 13:30:09.590,0.1972,0.1899,5.950066585742402,Not Available,CA,Accountant/CPA,Full-time,False,0.32,2666.666667,22.271949286846276,0,9999,366.47,669.5
B,36,Completed,2007-01-02 08:17:37.353,0.1018,0.0949,5.950066585742402,Not Available,WV,Truck Driver,Not available,True,0.16,4833.333333,22.271949286846276,0,3000,96.08,709.5
D,36,Chargedoff,2008-07-09 06:46:22.420,0.2325,0.21,5.950066585742402,Debt Consolidation,NY,Other,Not employed,False,0.15,1360.0,22.271949286846276,0,2500,94.19,609.5
A,36,Completed,2006-07-09 16:18:49.443,0.15713,0.15,5.950066585742402,Not Available,TX,Other,Not available,False,0.32,2600.0,22.271949286846276,0,3000,104.0,749.5
E,36,Chargedoff,2008-05-30 13:32:44.833,0.37453000000000003,0.35,5.950066585742402,Debt Consolidation,MO,Other,Full-time,True,0.34,2761.166667,22.271949286846276,0,3000,135.71,569.5
D,36,Chargedoff,2007-09-02 17:55:02.490,0.1974,0.1901,5.950066585742402,Not Available,KS,Other,Self-employed,True,0.27594660400633886,0.0,22.271949286846276,0,5000,183.31,609.5
AA,36,Completed,2007-12-30 18:19:40.917,0.10933,0.1024,5.950066585742402,Debt Consolidation,GA,Professional,Full-time,True,0.33,5916.666667,22.271949286846276,0,17000,549.41,789.5
AA,36,Defaulted,2007-01-26 12:20:00.740,0.11696,0.11,5.950066585742402,Not Available,VA,Computer Programmer,Not available,True,0.21,6250.0,22.271949286846276,0,10000,327.39,789.5
D,36,Chargedoff,2007-08-13 13:00:25.800,0.1973,0.19,5.950066585742402,Not Available,MI,Administrative Assistant,Full-time,True,0.18,2700.0,22.271949286846276,0,6500,238.26,629.5
AA,36,Chargedoff,2007-08-27 09:13:06.483,0.10702,0.1001,5.950066585742402,Not Available,FL,Other,Self-employed,True,0.39,1166.666667,22.271949286846276,2,9999,322.69,769.5
C,36,Chargedoff,2008-06-10 15:09:59.363,0.18183,0.16,5.950066585742402,Personal Loan,WI,Student - College Freshman,Self-employed,False,0.27,3833.333333,22.271949286846276,0,3000,105.47,669.5
C,36,Completed,2007-03-21 06:12:35.660,0.19835,0.18,5.950066585742402,Not Available,TX,Administrative Assistant,Full-time,False,0.33,2450.0,22.271949286846276,0,1000,36.15,649.5
C,36,Defaulted,2007-03-04 11:50:50.360,0.20010999999999998,0.1928,5.950066585742402,Not Available,MD,Other,Retired,True,0.34,1325.0,22.271949286846276,0,6001,220.82,669.5
HR,36,Completed,2007-06-21 21:58:51.110,0.2148,0.2,5.950066585742402,Not Available,WA,Medical Technician,Full-time,False,0.18,2230.333333,22.271949286846276,1,1999,74.29,549.5
A,36,Completed,2007-03-12 19:25:07.797,0.14669000000000001,0.1396,5.950066585742402,Not Available,WA,Military Officer,Full-time,True,0.3,8411.25,22.271949286846276,1,25000,853.96,749.5
AA,36,Completed,2007-12-21 22:20:22.763,0.07973999999999999,0.07,5.950066585742402,Personal Loan,CA,Other,Full-time,True,0.24,2779.833333,6.0,0,1750,54.03,769.5
HR,36,Chargedoff,2008-02-12 10:34:44.300,0.37453000000000003,0.35,5.950066585742402,Personal Loan,NM,Other,Full-time,True,0.59,2083.333333,22.271949286846276,1,3000,135.71,549.5
HR,36,Defaulted,2006-09-04 11:51:30.970,0.30503,0.29,5.950066585742402,Not Available,TX,Clerical,Not available,False,0.2,2529.0,22.271949286846276,0,1300,54.48,509.5
AA,36,Completed,2008-02-13 23:19:03.063,0.25747,0.2499,5.950066585742402,Business,AZ,Realtor,Full-time,True,0.27594660400633886,0.0,22.271949286846276,0,25000,993.86,849.5
AA,36,Chargedoff,2008-05-18 13:04:17.940,0.11207,0.1099,5.950066585742402,Business,TX,Other,Full-time,True,0.34,5000.0,22.271949286846276,2,8000,261.87,769.5
A,36,Completed,2008-08-26 23:46:18.933,0.22943000000000002,0.2145,5.950066585742402,Business,CA,Analyst,Full-time,False,0.32,6666.666667,22.271949286846276,0,25000,947.66,729.5
D,36,Completed,2008-03-07 16:13:32.070,0.17677,0.155,5.950066585742402,Auto,IN,Student - College Freshman,Self-employed,False,0.33,416.666667,22.271949286846276,0,3750,130.92,629.5
D,36,Completed,2007-09-09 13:54:15.613,0.18224,0.175,5.950066585742402,Not Available,CA,Truck Driver,Full-time,False,0.06,3750.0,22.271949286846276,0,5500,197.46,629.5
D,36,Completed,2008-07-08 15:11:45.050,0.34408,0.32,5.950066585742402,Other,FL,Administrative Assistant,Part-time,False,0.07,864.0,22.271949286846276,0,1000,19.09,629.5
HR,36,Chargedoff,2007-10-16 22:49:27.510,0.19075999999999999,0.1725,5.950066585742402,Not Available,IL,Sales - Commission,Full-time,False,0.11,2000.0,22.271949286846276,2,1000,35.78,529.5
AA,36,Completed,2006-07-22 14:21:58.457,0.0768,0.07,5.950066585742402,Not Available,CA,Executive,Not available,True,0.01,13333.333333,22.271949286846276,0,2550,78.74,849.5
HR,36,Defaulted,2007-09-14 05:09:44.183,0.22489,0.21,5.950066585742402,Not Available,MO,Other,Full-time,True,0.15,3333.333333,22.271949286846276,0,1729,65.14,549.5
A,36,Completed,2008-02-28 20:31:54.173,0.14117000000000002,0.127,5.950066585742402,Business,CO,Accountant/CPA,Full-time,False,0.13,3040.0,22.271949286846276,1,8000,268.4,729.5
A,36,Chargedoff,2008-07-25 20:24:14.903,0.1215,0.1075,5.950066585742402,Auto,PA,Postal Service,Full-time,False,0.07,5574.666667,22.271949286846276,0,7400,241.39,729.5
A,36,Defaulted,2006-12-08 23:33:52.880,0.12097999999999999,0.114,5.950066585742402,Not Available,UT,Laborer,Not available,False,0.17,2083.333333,22.271949286846276,0,5000,164.64,749.5
C,36,Chargedoff,2006-11-17 22:45:10.127,0.1973,0.19,5.950066585742402,Not Available,WA,Other,Not available,True,0.44,2299.083333,22.271949286846276,0,4000,146.62,649.5
D,36,Completed,2008-08-13 16:28:29.527,0.27691,0.2538,5.950066585742402,Student Use,IL,Sales - Retail,Part-time,False,0.27594660400633886,0.0,22.271949286846276,3,3500,139.86,609.5
C,36,Completed,2008-05-24 23:50:57.933,0.16593,0.1443,5.950066585742402,Personal Loan,CA,Construction,Full-time,False,0.15,5375.0,22.271949286846276,0,2500,85.97,669.5
HR,36,Defaulted,2006-08-01 18:47:27.620,0.29525,0.2875,5.950066585742402,Not Available,TX,Engineer - Chemical,Not available,True,0.16,6500.0,22.271949286846276,0,6500,271.5,509.5
E,36,Chargedoff,2007-06-30 04:46:24.087,0.30564,0.29,5.950066585742402,Not Available,NC,Realtor,Full-time,False,0.13,4250.0,22.271949286846276,0,5000,209.53,569.5
C,36,Completed,2008-06-26 08:13:37.717,0.12562,0.1045,5.950066585742402,Debt Consolidation,NJ,Other,Full-time,False,0.22,4329.166667,22.271949286846276,0,6500,209.18,649.5
A,36,Completed,2007-06-18 13:33:17.767,0.11947,0.1125,5.950066585742402,Not Available,IN,Clerical,Full-time,True,0.49,2333.333333,22.271949286846276,0,12000,390.47,729.5
B,36,Completed,2008-02-25 13:20:37.257,0.15428,0.14,5.950066585742402,Debt Consolidation,IL,Other,Full-time,True,0.27594660400633886,0.0,22.271949286846276,0,5000,170.89,689.5
AA,36,Completed,2008-05-23 01:02:19.747,0.069,0.052,5.950066585742402,Business,TX,Engineer - Mechanical,Full-time,False,0.01,7083.333333,22.271949286846276,0,1000,30.06,769.5
B,36,Completed,2007-05-29 17:05:40.347,0.056720000000000007,0.05,5.950066585742402,Not Available,CO,Administrative Assistant,Part-time,False,0.1,2000.0,22.271949286846276,0,6300,188.82,709.5
D,36,Completed,2007-08-15 09:55:55.690,0.14987999999999999,0.141,5.950066585742402,Not Available,NJ,Teacher,Full-time,False,0.07,6166.666667,22.271949286846276,0,2000,51.39,629.5
D,36,Completed,2007-10-05 15:26:36.220,0.18648,0.1774,5.950066585742402,Not Available,IL,Other,Full-time,True,0.02,3333.333333,22.271949286846276,0,2000,72.04,609.5
A,36,Completed,2008-06-18 19:19:17.207,0.10032999999999999,0.0865,5.950066585742402,Debt Consolidation,IL,Computer Programmer,Full-time,True,0.21,7083.333333,22.271949286846276,0,5000,158.19,749.5
C,36,Completed,2008-04-11 10:23:06.840,0.17322,0.1515,5.950066585742402,Personal Loan,WA,Computer Programmer,Full-time,False,0.15,8750.0,22.271949286846276,0,7000,243.17,669.5
AA,36,Chargedoff,2007-11-09 14:33:21.650,0.11797,0.111,5.950066585742402,Not Available,NY,Analyst,Full-time,True,0.27594660400633886,0.0,17.0,0,12000,393.43,769.5
A,36,Chargedoff,2007-08-17 17:33:41.983,0.18314,0.1759,5.950066585742402,Not Available,CA,Other,Self-employed,True,0.18,8000.0,22.271949286846276,0,25000,898.68,729.5
B,36,Completed,2008-05-30 14:51:02.670,0.22489,0.21,5.950066585742402,Personal Loan,VA,Civil Service,Full-time,True,0.29,6782.833333,22.271949286846276,0,6000,226.05,689.5
D,36,Chargedoff,2008-08-02 08:37:10.353,0.32277,0.299,5.950066585742402,Debt Consolidation,ID,Skilled Labor,Full-time,True,0.21,5416.666667,22.271949286846276,0,2000,84.79,629.5
A,36,Completed,2006-12-07 08:29:01.307,0.15713,0.15,5.950066585742402,Not Available,NY,Other,Not available,False,0.57,1250.0,22.271949286846276,0,16500,494.27,729.5
HR,36,Defaulted,2007-03-05 17:04:59.287,0.29554,0.28,5.950066585742402,Not Available,AL,Other,Full-time,False,0.31,4333.333333,22.271949286846276,0,5200,215.09,529.5
B,36,Completed,2008-05-02 15:06:30.287,0.12453,0.1105,5.950066585742402,Auto,PA,Construction,Full-time,False,0.2,4583.333333,22.271949286846276,0,3500,114.67,709.5
E,36,Defaulted,2006-07-27 12:38:47.433,0.29173000000000004,0.284,5.950066585742402,Not Available,CA,Clerical,Not available,True,0.16,2666.666667,22.271949286846276,0,3000,124.74,549.5
A,36,Completed,2008-06-03 09:32:02.360,0.17445,0.16,5.950066585742402,Home Improvement,IL,Retail Management,Full-time,True,0.21,5833.333333,22.271949286846276,0,17000,145.8,749.5
E,36,Completed,2006-11-09 12:54:49.300,0.2292,0.22,5.950066585742402,Not Available,IL,Other,Not available,False,0.06,2750.0,22.271949286846276,0,2025,69.92,549.5
